vowel	F2	rateF2	F2transtime	f0Median	Baseline	SpectEmph	subj
EN	NA	NA	NA	127	127	4.4	susp
UN	NA	NA	NA	261	245	6.2	susp
eI	1919	16.3	10	146	137	8.9	susp
aU	1519	6.7	10	178	162	10.5	susp
eI	1896	1.0	5	192	180	10.6	susp
IN	NA	NA	NA	233	227	5.8	susp
EN	NA	NA	NA	202	194	10.2	susp
EN	NA	NA	NA	151	148	10.0	susp
aU	1256	-2.5	5	146	125	10.7	susp
EN	NA	NA	NA	146	145	10.6	susp
iA	1928	-1.1	5	139	138	7.7	susp
i	2132	5.4	5	145	145	11.1	susp
A	1589	1.6	5	196	186	9.2	susp
oU	2137	9.6	5	154	145	11.3	susp
aU	1276	-26.7	10	137	135	12.0	susp
UN	NA	NA	NA	141	140	8.3	susp
o	944	-14.0	15	142	139	7.3	susp
O	1996	NA	NA	161	149	10.6	susp
u	1981	16.4	5	145	139	12.3	susp
U	1758	-13.0	5	137	NA	7.9	susp
aI	1838	0.8	5	136	127	12.4	susp
eU	1975	-10.7	5	136	133	8.7	susp
eI	2023	2.3	5	126	120	8.6	susp
aU	907	6.5	5	124	117	12.5	susp
Ie	1686	-6.0	5	200	183	12.4	susp
a	1347	-2.5	5	131	123	14.1	susp
A	1479	-6.3	5	127	126	4.5	susp
eU	1219	14.1	10	157	148	11.2	susp
ohI	1391	12.3	5	158	152	11.8	susp
e	1687	0.6	5	176	173	11.2	susp
a	1306	2.0	5	151	146	11.3	susp
A	1471	-0.9	5	179	177	6.3	susp
aI	1637	18.5	15	168	167	10.9	susp
eU	1477	-4.3	5	170	167	11.7	susp
eU	2037	-17.6	15	158	155	11.2	susp
UN	NA	NA	NA	159	159	11.0	susp
EN	NA	NA	NA	165	162	11.5	susp
u	1983	16.5	5	172	162	6.7	susp
A	1936	-4.1	5	199	189	13.1	susp
UN	NA	NA	NA	184	171	8.7	susp
o	1359	-0.1	5	156	154	10.4	susp
u	1977	-11.5	5	144	143	9.7	susp
u	2076	1.3	5	158	154	11.2	susp
aI	1532	14.6	10	153	150	8.3	susp
eU	1672	-3.9	5	NA	NA	NA	susp
oh	1147	-12.9	10	142	141	11.1	susp
e	1581	13.7	10	143	140	5.3	susp
e	1628	6.6	5	156	145	10.7	susp
a	1446	-4.7	5	118	115	9.7	susp
ANUN	NA	NA	NA	123	118	8.5	susp
o	1489	3.8	20	133	132	10.9	susp
EN	NA	NA	NA	133	132	8.4	susp
ANUN	NA	NA	NA	139	138	8.7	susp
aU	894	-8.8	5	119	112	8.8	susp
i	1918	9.0	10	132	129	10.4	susp
o	1944	-3.6	5	216	194	13.9	susp
IN	NA	NA	NA	192	170	6.1	susp
i	1948	10.7	5	141	139	17.6	susp
a	1438	-0.4	5	NA	NA	NA	susp
oU	1795	40.1	10	156	147	17.4	susp
a	1649	-3.0	5	137	137	20.4	susp
i	2228	-3.1	5	133	133	21.9	susp
i	1422	-13.8	5	255	217	3.8	susp
a	1670	2.1	5	142	128	15.7	susp
i	2141	4.2	5	129	126	10.2	susp
i	1078	11.7	20	246	241	4.2	susp
a	1367	5.1	5	131	123	27.9	susp
oU	1454	-19.6	10	142	135	19.5	susp
oI	1595	1.0	5	151	130	21.6	susp
a	1443	-8.9	30	167	NA	25.7	susp
o	1946	50.2	15	208	206	15.9	susp
o	2067	8.3	5	188	186	19.2	susp
o	1674	9.7	5	277	274	13.9	susp
IN	NA	NA	NA	199	174	13.7	susp
O	1203	-5.0	5	112	109	23.1	susp
u	1487	-1.1	5	254	240	14.8	susp
U	1592	5.2	5	174	172	16.9	susp
EN	NA	NA	NA	NA	NA	NA	susp
i	2033	-6.0	5	127	127	25.7	susp
o	1285	-40.8	15	142	140	23.4	susp
e	1731	1.5	5	107	106	19.1	susp
u	1385	-4.3	5	168	166	26.6	susp
eh	1703	2.7	5	215	214	21.1	susp
a	1526	5.0	5	192	186	23.5	susp
oh	1635	-9.8	5	181	178	23.6	susp
A	2104	20.3	15	189	182	23.1	susp
o	1300	0.8	5	189	183	16.1	susp
o	2342	-10.3	5	186	184	21.2	susp
U	1911	8.4	5	179	178	20.0	susp
AN	NA	NA	NA	175	173	29.6	susp
i	1852	-1.0	5	152	142	31.3	susp
a	1852	3.2	5	153	152	22.1	susp
U	1640	5.7	40	197	188	8.0	susp
ANUN	NA	NA	NA	168	163	17.7	susp
o	1279	-10.1	5	152	151	22.1	susp
IN	NA	NA	NA	149	146	23.5	susp
AN	NA	NA	NA	145	144	27.7	susp
i	2196	-6.2	5	145	143	21.7	susp
a	1671	0.6	5	141	139	23.7	susp
e	1884	4.1	5	142	139	22.8	susp
U	1198	1.3	35	250	242	8.5	susp
Ia	2236	-4.7	5	201	191	22.8	susp
a	1464	-12.5	5	177	171	17.5	susp
i	1765	3.1	5	175	172	23.6	susp
e	1848	-29.6	10	161	154	22.4	susp
I	1724	-0.8	5	NA	NA	NA	susp
IN	NA	NA	NA	NA	NA	NA	susp
e	1786	-1.7	5	150	137	28.7	susp
i	1985	16.2	5	180	165	16.8	susp
A	1759	-2.2	5	151	135	28.7	susp
i	1860	-42.6	10	137	134	25.2	susp
AN	NA	NA	NA	158	142	22.1	susp
i	1989	11.6	5	148	142	20.5	susp
A	1457	-0.8	5	131	125	26.2	susp
aI	1659	3.6	5	136	120	29.5	susp
ehU	1808	1.2	5	167	151	22.3	susp
ANUN	NA	NA	NA	158	149	25.3	susp
a	1193	-0.1	5	145	128	23.7	susp
oh	1548	-15.5	5	175	161	26.9	susp
A	1503	-3.2	5	256	237	29.0	susp
IN	NA	NA	NA	202	200	17.0	susp
U	1679	-3.1	5	199	196	14.3	susp
u	1869	-37.4	10	280	276	21.7	susp
IN	NA	NA	NA	199	185	17.7	susp
UAN	2132	-9.4	5	182	166	18.3	susp
u	1331	-66.0	15	249	245	13.5	susp
a	1681	1.1	5	238	235	21.9	susp
eU	1758	4.6	20	202	192	15.9	susp
o	1221	-25.8	10	181	177	21.7	susp
a	1376	14.0	10	164	162	18.3	susp
a	1737	6.9	10	147	142	26.5	susp
U	1185	-1.1	5	147	147	26.6	susp
u	1151	-12.7	10	152	152	20.7	susp
u	1468	27.6	30	177	171	21.7	susp
IN	NA	NA	NA	210	204	13.3	susp
ANUN	NA	NA	NA	194	192	19.4	susp
o	876	-43.5	10	190	186	18.5	susp
a	1463	-2.4	5	188	172	27.7	susp
aI	1872	2.0	5	187	185	26.5	susp
aI	1482	-11.6	5	176	164	31.2	susp
UN	NA	NA	NA	184	178	20.8	susp
UAN	2280	-0.0	5	171	169	20.6	susp
U	2332	-2.7	5	173	170	21.5	susp
o	1689	12.1	5	182	180	22.5	susp
A	1872	1.6	5	183	182	22.3	susp
eU	1547	2.5	5	176	172	24.3	susp
EN	NA	NA	NA	129	122	23.9	susp
Ia	1856	-6.6	5	165	158	21.4	susp
IAN	1542	10.0	5	194	187	23.0	susp
IN	NA	NA	NA	250	240	14.2	susp
ANUN	NA	NA	NA	256	251	18.9	susp
a	1404	4.6	5	194	187	21.5	susp
eh	1721	-0.6	5	149	143	31.2	susp
oh	1769	43.8	25	161	158	15.2	susp
a	1548	4.6	5	165	161	23.6	susp
eU	1423	-12.0	5	164	163	25.9	susp
o	2077	11.2	10	166	165	16.6	susp
e	1440	-6.0	5	160	156	26.8	susp
a	1352	-1.2	5	151	149	20.2	susp
a	1518	1.1	35	150	145	26.6	susp
U	1459	-0.1	5	206	200	19.0	susp
i	2032	15.1	10	224	221	17.1	susp
ON	NA	NA	NA	232	NA	11.0	susp
e	1468	9.2	5	227	227	16.7	susp
o	1420	-8.3	5	212	209	18.5	susp
a	1536	4.7	5	215	210	15.9	susp
e	1654	8.9	5	208	206	12.5	susp
Ui	1730	-39.0	15	216	212	17.5	susp
a	1463	-13.6	10	181	176	16.2	susp
i	1877	-2.1	5	174	171	21.8	susp
U	993	34.3	20	130	129	23.0	susp
UN	NA	NA	NA	139	138	19.4	susp
IN	NA	NA	NA	153	146	26.6	susp
ANUN	NA	NA	NA	254	252	22.8	susp
A	1286	-0.7	5	134	126	26.1	susp
EN	NA	NA	NA	131	130	28.7	susp
e	1860	-11.7	5	157	152	28.1	susp
AN	NA	NA	NA	NA	NA	NA	susp
i	1969	3.5	5	116	116	33.6	susp
A	1601	14.8	10	125	122	33.0	susp
e	1551	-8.6	5	139	135	26.9	susp
a	1510	-9.4	5	126	126	26.4	susp
a	1464	-7.5	5	146	145	22.4	susp
EN	NA	NA	NA	NA	NA	NA	susp
o	1423	-14.8	10	171	151	23.3	susp
ANUN	NA	NA	NA	181	170	20.7	susp
aU	1419	12.8	10	130	121	27.2	susp
U	1845	16.5	10	126	124	25.8	susp
eU	1714	-1.2	5	246	243	17.7	susp
eU	1616	4.5	5	161	155	16.5	susp
oh	1474	4.0	5	153	151	20.9	susp
IN	NA	NA	NA	163	161	22.7	susp
oh	1460	8.9	10	156	154	22.3	susp
e	1815	3.4	5	148	147	23.5	susp
u	1484	3.1	5	154	153	20.4	susp
IN	NA	NA	NA	158	156	28.9	susp
AN	NA	NA	NA	165	164	24.0	susp
i	1963	-14.0	10	176	173	24.6	susp
A	1474	-14.5	5	207	205	21.9	susp
ohU	1439	12.9	10	169	168	23.4	susp
a	1480	4.4	5	164	158	28.4	susp
a	1565	-4.5	5	153	143	31.8	susp
A	1412	0.9	5	127	91	26.4	susp
a	1514	2.6	5	NA	NA	NA	susp
a	1543	-5.9	5	151	141	28.7	susp
A	2087	-11.7	10	165	164	24.0	susp
a	1454	1.3	5	162	157	25.8	susp
i	1948	5.2	5	140	138	27.8	susp
A	1236	-2.8	5	123	115	26.7	susp
EN	NA	NA	NA	124	123	32.4	susp
ehU	1766	9.4	5	244	193	21.6	susp
UN	NA	NA	NA	243	235	14.4	susp
oh	1529	2.6	5	230	230	16.5	susp
A	1444	-2.5	5	164	154	29.9	susp
e	1942	3.5	5	160	154	23.3	susp
I	1616	-4.8	5	220	203	15.3	susp
u	1948	31.6	15	NA	NA	NA	susp
A	1739	23.3	10	164	163	25.9	susp
ANUN	NA	NA	NA	166	164	16.6	susp
aU	1187	-10.0	5	146	129	23.1	susp
u	1383	12.7	5	173	166	17.5	susp
AN	NA	NA	NA	146	134	19.3	susp
i	1726	5.5	5	137	132	24.2	susp
oU	1756	14.2	15	127	123	22.9	susp
Io	2118	17.6	5	132	128	22.0	susp
EN	NA	NA	NA	146	134	22.3	susp
Ia	1505	3.0	5	139	128	22.5	susp
i	1694	11.1	5	136	135	22.7	susp
a	1246	-12.7	20	149	149	18.8	susp
AN	NA	NA	NA	159	158	22.6	susp
i	1833	13.8	5	146	142	22.1	susp
IN	NA	NA	NA	133	130	21.1	susp
AN	NA	NA	NA	136	135	28.2	susp
EN	NA	NA	NA	142	140	23.4	susp
oh	1139	4.8	25	202	179	16.4	susp
oh	1501	14.7	35	159	158	16.1	susp
IN	NA	NA	NA	151	143	30.2	susp
o	1237	-28.9	15	153	151	19.3	susp
a	1509	2.5	5	149	147	23.1	susp
I	1825	-9.4	5	145	140	25.5	susp
eU	1636	-6.0	5	153	153	7.8	crim
o	1354	-5.0	5	166	164	8.0	crim
u	1471	13.0	15	167	166	1.4	crim
IN	NA	NA	NA	178	174	1.5	crim
AN	NA	NA	NA	163	153	9.6	crim
u	1320	-2.1	5	151	149	4.0	crim
IN	NA	NA	NA	146	141	4.0	crim
eiN	1780	1.0	5	133	130	5.1	crim
a	1749	-17.6	10	127	123	9.2	crim
iA	1960	9.6	5	132	120	8.6	crim
o	1169	-8.1	5	138	136	9.3	crim
o	1369	-9.5	5	136	NA	5.6	crim
u	1374	10.6	5	137	136	10.5	crim
iuN	1380	-7.4	5	126	124	4.3	crim
a	1353	-1.8	5	120	118	12.4	crim
ua	1306	-7.3	5	113	110	8.0	crim
oh	945	1.2	5	119	112	11.9	crim
A	1546	0.9	5	140	136	7.6	crim
aI	1409	13.2	10	137	135	6.6	crim
IN	NA	NA	NA	147	147	2.1	crim
eh	1630	-1.3	5	155	153	5.4	crim
a	1632	2.8	5	143	139	7.8	crim
EN	NA	NA	NA	133	133	5.5	crim
eU	1526	-3.9	5	140	138	7.2	crim
UN	NA	NA	NA	130	123	4.2	crim
a	1221	-5.9	5	143	141	7.5	crim
oh	1218	3.6	5	143	142	13.1	crim
eU	1385	-2.5	5	138	136	8.0	crim
u	884	-6.9	5	145	141	8.1	crim
i	1853	7.6	5	133	131	8.8	crim
eU	1340	-8.4	5	144	NA	5.9	crim
oh	1061	3.8	5	130	129	12.7	crim
UN	NA	NA	NA	130	123	2.5	crim
UN	NA	NA	NA	133	127	3.9	crim
eU	842	8.1	5	121	119	5.4	crim
u	570	-1.0	5	127	126	8.6	crim
U	1298	3.3	5	160	156	3.6	crim
e	1624	3.6	5	153	149	5.7	crim
oI	1181	9.6	5	149	145	10.5	crim
i	1672	-7.3	5	144	139	5.6	crim
IN	NA	NA	NA	154	151	3.2	crim
UaN	1147	-0.2	5	141	135	10.7	crim
u	1286	1.9	5	136	131	8.4	crim
AN	NA	NA	NA	123	120	12.8	crim
UeU	1271	-2.2	5	123	118	10.5	crim
e	1373	8.0	5	128	NA	7.0	crim
e	1672	1.9	5	129	126	8.3	crim
i	1785	-1.3	5	118	117	8.2	crim
i	1752	-14.1	5	136	NA	2.4	crim
ueh	1467	-0.1	5	121	119	8.9	crim
uIN	1633	18.4	35	122	122	3.9	crim
U	1195	-10.9	5	124	123	10.5	crim
ou	992	-0.6	5	121	119	9.5	crim
eh	1713	-5.7	5	112	104	13.8	crim
U	1525	2.0	5	117	116	9.3	crim
a	1392	1.2	5	116	113	12.4	crim
a	1495	1.5	5	119	117	11.9	crim
INA	NA	NA	NA	121	121	7.8	crim
i	1941	5.1	5	122	118	8.2	crim
A	1618	-2.7	5	146	143	5.7	crim
eu	1412	-9.3	5	167	166	7.4	crim
a	1209	4.0	5	187	NA	6.2	crim
a	1275	-2.8	5	176	173	7.2	crim
a	1300	8.1	10	161	161	15.4	crim
IN	NA	NA	NA	162	159	2.8	crim
ua	983	-19.7	15	163	160	11.1	crim
ON	NA	NA	NA	146	134	5.8	crim
I	1749	-5.1	5	180	175	3.3	crim
u	938	-0.9	5	140	NA	6.2	crim
A	1382	9.1	5	140	138	10.1	crim
eh	1533	5.7	5	127	122	13.7	crim
AN	NA	NA	NA	128	121	12.2	crim
A	1258	6.5	5	123	122	7.9	crim
oIN	1651	4.5	5	126	123	7.3	crim
a	1625	-2.1	5	121	118	8.5	crim
a	1530	7.9	5	117	117	7.6	crim
o	1270	11.4	5	120	NA	12.7	crim
a	1285	2.6	5	122	110	13.2	crim
U	1191	0.3	5	150	149	5.2	crim
eu	1494	-13.3	5	129	NA	7.8	crim
o	1424	-0.9	5	124	124	10.1	crim
e	1592	-2.8	5	121	120	6.5	crim
o	1519	2.7	5	121	120	11.0	crim
o	1030	-5.7	5	118	117	6.0	crim
a	1361	-0.9	5	131	125	13.1	crim
iUS	1625	3.8	5	135	131	7.4	crim
IN	NA	NA	NA	142	138	2.4	crim
ANUN	NA	NA	NA	134	129	4.0	crim
eU	1423	3.5	5	140	136	8.4	crim
Ui	1915	15.1	10	132	129	7.3	crim
o	1153	0.5	5	134	132	10.6	crim
A	1335	4.9	5	146	133	5.5	crim
o	1219	-5.2	5	140	139	10.4	crim
A	1261	1.5	5	140	140	11.8	crim
a	1308	3.1	5	130	128	15.1	crim
u	862	-9.4	5	124	121	8.8	crim
a	1478	-0.5	5	134	129	9.6	crim
o	1426	-2.8	5	158	156	5.7	crim
e	1493	-3.9	5	195	190	4.6	crim
ANUN	NA	NA	NA	178	174	7.1	crim
o	1129	-0.5	5	159	158	8.6	crim
UN	NA	NA	NA	155	153	2.4	crim
a	1370	-1.3	5	148	142	12.9	crim
IU	1633	1.2	5	145	142	6.7	crim
u	867	-0.7	5	141	136	7.6	crim
a	1337	-0.9	5	137	136	9.8	crim
o	1149	NA	NA	139	138	4.9	crim
a	1227	7.3	5	151	149	9.0	crim
ANUN	NA	NA	NA	154	152	9.1	crim
e	2020	4.5	5	146	138	11.3	crim
i	1818	1.4	5	135	131	7.1	crim
o	1421	-7.5	5	142	NA	4.9	crim
e	1492	4.2	5	135	135	10.1	crim
e	1732	0.7	5	148	142	7.5	crim
ANUN	NA	NA	NA	142	140	7.3	crim
aIN	1594	11.0	5	145	142	5.4	crim
U	1410	-3.0	5	136	132	5.3	crim
a	1250	-3.8	5	131	128	13.7	crim
ON	NA	NA	NA	138	127	8.4	crim
e	1791	2.9	5	137	134	7.9	crim
ANUN	NA	NA	NA	134	129	6.2	crim
AN	NA	NA	NA	139	132	8.7	crim
U	1215	1.2	5	159	158	2.0	crim
u	1186	3.6	5	150	144	6.7	crim
ON	NA	NA	NA	146	144	6.9	crim
a	1537	-7.8	5	142	139	11.3	crim
a	1299	-7.4	5	139	138	14.5	crim
a	1299	6.2	5	136	134	14.0	crim
IA	1321	-0.5	5	131	130	13.5	crim
o	983	-5.0	5	132	129	11.7	crim
ehI	1832	2.1	5	129	124	12.8	crim
IN	NA	NA	NA	142	140	1.7	crim
U	1630	1.0	5	135	131	4.3	crim
ONEN	NA	NA	NA	126	123	5.8	crim
AN	NA	NA	NA	129	127	5.7	crim
i	2087	-0.2	5	157	141	7.4	crim
A	1507	0.3	5	196	194	2.2	crim
a	1464	-1.4	5	153	151	5.3	crim
EN	NA	NA	NA	152	144	3.2	crim
EN	NA	NA	NA	152	150	6.1	crim
U	1331	-3.7	5	146	145	5.5	crim
aI	1240	6.1	5	148	147	8.2	crim
o	1334	-0.1	5	149	147	5.1	crim
e	1969	17.1	20	136	135	7.9	crim
U	1420	-1.1	5	141	141	4.3	crim
IN	NA	NA	NA	150	144	2.9	crim
EN	NA	NA	NA	143	139	4.4	crim
U	1267	-2.0	5	152	145	6.5	crim
iAN	2076	2.9	5	133	130	7.8	crim
A	1398	-0.2	5	142	139	6.5	crim
a	1521	-2.4	5	135	134	11.3	crim
EN	NA	NA	NA	135	132	5.5	crim
e	1792	-4.0	5	139	136	5.2	crim
iAN	1670	2.7	5	131	128	11.0	crim
iEN	1998	7.1	5	137	135	5.7	crim
o	1351	-0.6	5	131	130	8.9	crim
EN	NA	NA	NA	124	119	7.4	crim
a	1572	0.5	5	131	129	12.1	crim
eU	1582	-5.1	5	164	162	6.8	crim
a	1403	-3.4	5	169	165	8.7	crim
a	1515	12.6	5	158	158	10.9	crim
eI	1846	7.6	5	156	155	9.1	crim
AN	NA	NA	NA	157	154	10.0	crim
eIN	2154	22.2	25	139	138	8.2	crim
u	1299	-5.6	5	139	138	5.0	crim
oh	1257	0.5	5	130	NA	13.0	crim
a	1591	-1.0	5	132	NA	6.5	crim
a	1512	-1.2	5	130	126	12.2	crim
a	1779	6.7	5	123	123	10.6	crim
iA	2130	-0.9	5	124	122	10.5	crim
aU	1466	3.0	5	119	118	10.0	crim
i	2324	20.8	15	119	119	5.1	crim
AN	NA	NA	NA	137	124	7.0	crim
I	2039	-3.7	5	168	167	3.1	crim
ehu	1584	0.2	5	142	127	7.5	crim
i	1927	15.2	10	128	128	5.6	crim
o	1550	-2.0	5	132	129	8.1	crim
EN	NA	NA	NA	126	124	9.0	crim
o	1453	-0.6	5	121	120	6.5	crim
e	1658	-9.6	5	126	124	9.5	crim
aU	1306	-2.6	5	146	133	10.7	crim
i	1929	1.0	5	180	177	2.1	crim
uI	1308	8.6	5	232	217	2.1	crim
A	1587	1.0	5	154	138	23.7	crim
a	1031	-1.5	5	245	239	0.5	crim
eaU	1031	0.1	5	186	173	2.5	crim
a	1572	2.8	5	170	168	6.9	crim
e	2009	-0.7	5	168	166	2.3	crim
e	1759	1.7	5	163	159	8.1	crim
ANUN	NA	NA	NA	144	143	7.8	crim
a	1188	-2.8	5	139	133	13.2	crim
o	1188	2.1	5	134	133	10.0	crim
i	1871	-2.0	5	128	127	7.6	crim
a	1229	-3.9	5	132	131	6.9	crim
oh	1249	8.2	5	131	129	12.6	crim
EN	NA	NA	NA	125	121	7.2	crim
Ia	1402	1.0	5	138	130	12.1	crim
AU	1413	-0.8	5	130	128	7.8	crim
a	1447	-3.4	5	121	117	11.3	crim
i	2072	14.6	5	127	125	7.4	crim
oh	1317	0.8	5	125	125	8.1	crim
Io	1254	-10.9	5	122	121	9.3	crim
EN	NA	NA	NA	132	120	7.0	crim
U	1244	-4.6	5	157	NA	3.3	crim
Ia	1701	-2.4	5	152	149	9.0	crim
a	1453	-0.0	5	139	137	9.7	crim
AN	NA	NA	NA	136	127	3.7	crim
i	2046	4.0	5	129	127	8.1	crim
A	1480	-2.6	5	128	126	5.9	crim
o	885	-1.1	5	132	131	8.8	crim
UN	NA	NA	NA	129	126	3.2	crim
o	867	-8.1	5	123	123	9.9	crim
U	1131	-7.0	5	131	130	8.5	crim
u	1158	-1.8	5	130	121	8.0	crim
u	1473	1.7	5	200	198	4.2	crim
i	1968	-2.5	5	149	145	4.8	crim
a	1091	-1.9	5	138	134	14.1	crim
o	1001	2.0	5	125	77	10.0	crim
eU	1969	-0.3	5	184	176	7.0	crim
a	1383	-1.8	5	207	203	8.3	crim
a	1211	4.4	5	199	198	7.1	crim
eI	2016	6.0	5	192	190	5.4	crim
AN	NA	NA	NA	181	171	6.8	crim
eIN	1836	16.0	10	156	154	5.5	crim
u	1487	1.3	5	157	156	4.4	crim
aON	1022	2.8	5	144	139	8.5	crim
i	1971	2.0	5	151	150	2.1	crim
a	1333	-4.7	5	137	134	8.6	crim
A	1183	5.4	5	133	NA	5.1	crim
e	1809	1.4	5	141	138	8.3	crim
eI	1958	7.7	5	131	129	11.3	crim
AN	NA	NA	NA	144	141	4.1	crim
i	2122	1.3	5	148	145	6.9	crim
A	1462	-0.8	5	161	159	2.9	crim
AN	NA	NA	NA	149	148	7.7	crim
U	1036	-6.4	5	143	139	8.7	crim
aU	1146	7.2	5	133	130	12.5	crim
A	1633	12.4	5	134	132	8.1	crim
o	954	-1.8	5	133	130	7.3	crim
oh	952	-1.9	5	126	125	10.8	crim
AN	NA	NA	NA	137	134	4.9	crim
i	1901	-3.5	5	132	131	8.2	crim
i	1940	2.6	5	137	134	9.6	crim
i	1895	0.07	5	130	129	6.5	crim
e	1583	3.0	5	137	137	9.2	crim
ON	NA	NA	NA	129	128	10.0	crim
I	1901	2.9	5	140	139	4.7	crim
U	918	-3.1	5	139	137	8.1	crim
AN	NA	NA	NA	132	130	4.8	crim
EN	NA	NA	NA	124	124	6.6	crim
UN	NA	NA	NA	127	126	3.5	crim
UN	NA	NA	NA	141	137	3.3	crim
oh	1156	-3.8	5	120	113	11.3	crim
EN	NA	NA	NA	124	123	5.5	crim
a	1553	0.9	5	139	137	12.5	crim
EN	NA	NA	NA	138	121	5.7	crim
Iai	1974	-7.8	5	185	177	8.6	crim
ehiA	1856	3.0	5	180	177	9.7	crim
aON	1536	0.8	5	169	166	9.1	crim
I	2028	0.9	5	178	176	5.9	crim
eh	1915	7.2	5	174	NA	4.6	crim
aU	1284	6.2	5	164	161	3.5	crim
EN	NA	NA	NA	160	159	2.4	crim
a	1580	-5.8	5	164	160	5.0	crim
AN	NA	NA	NA	161	160	7.3	crim
i	1972	16.6	10	163	160	1.9	crim
ANUN	NA	NA	NA	162	159	9.8	crim
e	1918	5.7	5	138	133	5.8	crim
e	1850	0.4	5	137	136	4.5	crim
ON	NA	NA	NA	145	138	4.6	crim
e	1920	-7.4	5	163	159	2.6	crim
EN	NA	NA	NA	156	144	4.3	crim
U	1258	-7.6	5	207	205	3.6	crim
iaIN	2189	4.6	5	164	161	3.6	crim
u	1024	-2.2	5	168	165	5.2	crim
ANUN	NA	NA	NA	159	152	5.4	crim
o	1191	-0.2	5	173	169	7.8	crim
iaU	1245	-3.9	5	152	140	9.2	crim
a	1436	-0.8	5	145	143	9.0	crim
eh	1603	11.4	5	140	140	10.6	crim
ANUN	NA	NA	NA	140	137	4.5	crim
i	1714	-5.7	5	150	150	3.2	crim
aU	1278	-3.8	5	NA	NA	NA	crim
IN	NA	NA	NA	174	168	1.1	crim
AN	NA	NA	NA	169	169	9.3	crim
e	1478	8.0	5	172	171	6.2	crim
oI	1257	12.6	20	167	162	10.0	crim
i	1729	-1.0	5	161	160	5.8	crim
o	1168	-4.8	5	170	169	9.7	crim
o	1473	-0.9	5	164	160	7.2	crim
eh	1581	-0.4	5	146	143	10.0	crim
o	1173	0.2	5	161	159	8.1	crim
iaI	1523	-1.3	5	140	129	11.0	crim
eU	1579	-5.2	5	152	151	5.2	crim
u	1104	-5.3	5	151	NA	7.6	crim
eaU	1846	1.5	5	141	136	7.7	crim
EN	NA	NA	NA	134	132	4.8	crim
IN	NA	NA	NA	147	138	2.0	crim
e	1838	0.08	5	137	136	5.9	crim
Ia	1746	11.5	5	128	125	10.2	crim
iA	1676	1.0	5	128	126	10.1	crim
UNeh	NA	NA	NA	133	130	8.8	crim
IN	NA	NA	NA	140	119	3.9	crim
INA	NA	NA	NA	139	131	5.7	crim
aI	1371	-1.4	5	129	125	15.7	crim
eu	1674	1.0	5	140	138	9.0	crim
eh	1637	-5.8	5	134	130	12.3	crim
a	1296	2.8	5	130	128	9.4	crim
eA	1489	5.0	5	125	125	9.7	crim
u	981	-11.8	10	128	128	5.2	crim
oI	1472	10.9	5	129	122	8.6	crim
aI	1283	5.2	5	125	125	7.8	crim
e	1124	0.3	5	133	133	8.1	crim
a	1385	5.0	5	127	120	7.6	crim
Ai	1653	7.1	5	121	118	9.2	crim
U	1201	-9.0	10	NA	NA	NA	crim
a	1309	3.6	5	158	NA	9.3	crim
